Peso	Método
1.0503	Cuchara
1.0651	Cuchara
1.0921	Cuchara
1.0601	Cuchara
1.0604	Cuchara
1.0176	Cuchara
1.0905	Cuchara
1.0988	Cuchara
1.1004	Cuchara
1.0562	Cuchara
1.0329	Cuchara
1.0035	Cuchara
0.9775	Cuchara
1.0391	Cuchara
1.0456	Cuchara
1.0295	Cuchara
1.1112	Cuchara
1.0932	Cuchara
1.0325	Cuchara
1.052	Cuchara
1.0546	Cuchara
1.0453	Cuchara
1.0572	Cuchara
1.0167	Cuchara
1.0084	Cuchara
1.038	Cuchara
1.0551	Cuchara
1.0158	Cuchara
1.0771	Cuchara
0.9735	Cuchara
1.0557	Cuchara
1.0594	Cuchara
1.0215	Cuchara
1.0567	Cuchara
1.0829	Cuchara
1.0647	Cuchara
0.9972	Cuchara
0.9982	Cuchara
1.048	Cuchara
1.0699	Cuchara
1.0905	Cuchara
0.9915	Cuchara
0.9989	Cuchara
1.064	Cuchara
1.0788	Cuchara
1.0442	Cuchara
1.0839	Cuchara
1.0785	Cuchara
1.0272	Cuchara
1.0936	Cuchara
1.0294	Cuchara
1.0822	Cuchara
0.9945	Cuchara
1.0762	Cuchara
1.0875	Cuchara
1.0751	Cuchara
1.0345	Cuchara
1.0762	Cuchara
1.0278	Cuchara
1.0957	Cuchara
1.0487	Cuchara
1.0664	Cuchara
1.0994	Cuchara
1.0583	Cuchara
1.0116	Cuchara
1.0864	Cuchara
1.0245	Cuchara
1.0556	Cuchara
1.002	Cuchara
1.0433	Cuchara
1.0233	Cuchara
1.0568	Cuchara
1.0959	Cuchara
1.016	Cuchara
1.0966	Cuchara
1.0254	Cuchara
1.0954	Cuchara
1.035	Cuchara
1.0925	Cuchara
1.0648	Cuchara
1.0683	Cuchara
1.054	Cuchara
1.01	Cuchara
1.0244	Cuchara
1.0923	Cuchara
1.0849	Cuchara
1.0895	Cuchara
1.0977	Cuchara
1.0569	Cuchara
1.0778	Cuchara
1.0669	Cuchara
1.0985	Cuchara
1.0694	Cuchara
1.039	Cuchara
1.0792	Cuchara
1.0972	Cuchara
1.0745	Cuchara
1.0344	Cuchara
1.0412	Cuchara
1.0577	Cuchara
0.9999	Cuchara
1.0773	Cuchara
1.0785	Cuchara
1.0026	Cuchara
1.0718	Cuchara
1.112	Cuchara
1.0322	Cuchara
1.1021	Cuchara
0.9494	Cuchara
