Peso	Colaborador	Metodo
1.2	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1.2	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1.2	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1.2	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1.2	21/01/2021_PLA	Cuchara
1.2	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1.2	21/01/2021_PLA	Cuchara
1.2	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1.2	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1.2	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1.2	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
1	21/01/2021_PLA	Cuchara
