Peso	Colaborador	Metodo	Colme
1.2	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1.2	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1.2	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1.2	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1.2	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1.2	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1.2	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1.2	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1.2	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1.2	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1.2	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1.2	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1.2	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
1.2	21/01/2021_PLA	Cuchara	21/01/2021_PLA_Cuchara
