dif	nombre
-0.412	A020095_Bicarbonato de sodio polvo
-0.544	A020095_Bicarbonato de sodio polvo
-0.476	A020095_Bicarbonato de sodio polvo
-0.425	A020095_Bicarbonato de sodio polvo
-0.441	A020095_Bicarbonato de sodio polvo
0.000	A020115_Omeprazol suspensión 2 mg/mL
	A020115_Omeprazol suspensión 2 mg/mL
0.000	A020115_Omeprazol suspensión 2 mg/mL
0.429	A020115_Omeprazol suspensión 2 mg/mL
	B010031_Heparina 100 u/mL
0.000	B010047_Heparina 100 u/mL Bolsax250mL [AR]
0.000	B010047_Heparina 100 u/mL Bolsax250mL [AR]
0.154	B010047_Heparina 100 u/mL Bolsax250mL [AR]
0.500	B010047_Heparina 100 u/mL Bolsax250mL [AR]
0.000	B010047_Heparina 100 u/mL Bolsax250mL [AR]
0.000	B010047_Heparina 100 u/mL Bolsax250mL [AR]
0.000	B050071_Cloruro de potasio 7,5/500 Salino 
	B050071_Cloruro de potasio 7,5/500 Salino 
0.000	B050071_Cloruro de potasio 7,5/500 Salino 
0.000	B050073_Cloruro de potasio 10/1000 Salino
	B050073_Cloruro de potasio 10/1000 Salino
-0.500	B050073_Cloruro de potasio 10/1000 Salino
0.000	B050073_Cloruro de potasio 10/1000 Salino
0.125	B050074_Cloruro de potasio 7,5/500 Lactato
0.000	B050074_Cloruro de potasio 7,5/500 Lactato
0.750	B050074_Cloruro de potasio 7,5/500 Lactato
0.081	B050076_Cloruro de potasio 10/1000 Lactato
0.053	B050076_Cloruro de potasio 10/1000 Lactato
	B050076_Cloruro de potasio 10/1000 Lactato
-0.367	B050079_Cloruro de potasio 40 mEq (20mL) /100 mL [AR]
	B050079_Cloruro de potasio 40 mEq (20mL) /100 mL [AR]
0.857	B050079_Cloruro de potasio 40 mEq (20mL) /100 mL [AR]
0.818	B050079_Cloruro de potasio 40 mEq (20mL) /100 mL [AR]
0.040	B050127_Cloruro de potasio 20 mEq (10mL) /100 mL
-0.118	B050127_Cloruro de potasio 20 mEq (10mL) /100 mL
0.038	B050127_Cloruro de potasio 20 mEq (10mL) /100 mL
	B050127_Cloruro de potasio 20 mEq (10mL) /100 mL
-0.091	B050127_Cloruro de potasio 20 mEq (10mL) /100 mL
0.000	B050129_Cloruro de potasio 5/500 mL  Solución 1:1
-0.231	B050129_Cloruro de potasio 5/500 mL  Solución 1:1
0.818	B050129_Cloruro de potasio 5/500 mL  Solución 1:1
-0.091	B050129_Cloruro de potasio 5/500 mL  Solución 1:1
0.000	B050129_Cloruro de potasio 5/500 mL  Solución 1:1
-0.231	B050129_Cloruro de potasio 5/500 mL  Solución 1:1
-0.167	B050129_Cloruro de potasio 5/500 mL  Solución 1:1
-0.063	B050130_Sulfato de magnesio (40 mg/mL)
0.831	B050130_Sulfato de magnesio (40 mg/mL)
	B050130_Sulfato de magnesio (40 mg/mL)
-0.032	B050130_Sulfato de magnesio (40 mg/mL)
0.047	B050131_Sulfato de magnesio (20 mg/mL)
0.293	B050131_Sulfato de magnesio (20 mg/mL)
0.875	B050131_Sulfato de magnesio (20 mg/mL)
0.374	B050131_Sulfato de magnesio (20 mg/mL)
-0.739	B050131_Sulfato de magnesio (20 mg/mL)
-0.245	B050131_Sulfato de magnesio (20 mg/mL)
0.111	B050135_Bicarbonato de sodio  0.15 mEq/mL Solución inyectable (*)
0.200	B050135_Bicarbonato de sodio  0.15 mEq/mL Solución inyectable (*)
1.105	B050135_Bicarbonato de sodio  0.15 mEq/mL Solución inyectable (*)
